chromosome 	 region_start 	 region_end 	 correlation 	 pvalue 	 std_err 	 SNPs 
9	16433515.0	16980269.0	0	0	nan	226.0
9	16980269.0	17527022.0	-0.9995	9.7344e-23	0.1018	173.0
9	16980269.0	17253646.0	-1.019	0.0005	0.2946	74.0
9	17253646.0	17527022.0	-0.991	4.3438e-06	0.2157	99.0
9	17527022.0	35023133.0	-0.195	0.5916	0.3635	5475.0
9	17527022.0	26275078.0	0.2171	0.5026	0.3237	2655.0
9	17527022.0	21901050.0	-0.1366	0.6526	0.3033	1659.0
9	17527022.0	19714036.0	-0.7437	0.0239	0.3293	942.0
9	17527022.0	18620529.0	0	0	nan	468.0
9	18620529.0	19714036.0	-0.3454	0.3866	0.399	474.0
9	18620529.0	19167283.0	0.3258	0.6274	0.6712	307.0
9	18620529.0	18893906.0	0	0	nan	174.0
9	18893906.0	19167283.0	0	0	nan	133.0
9	19167283.0	19714036.0	-0.5	0.272	0.4552	167.0
9	19167283.0	19440660.0	-1.2026	0.0036	0.4129	66.0
9	19440660.0	19714036.0	0	0	nan	101.0
9	19714036.0	21901050.0	0	0	nan	717.0
9	21901050.0	26275078.0	1.6463	0.4437	2.1493	996.0
9	21901050.0	24088064.0	0	0	nan	500.0
9	24088064.0	26275078.0	0	0	nan	496.0
9	26275078.0	35023133.0	-0.8453	0.0687	0.4644	2820.0
9	26275078.0	30649106.0	-1.8301	0.3666	2.027	1582.0
9	26275078.0	28462092.0	0	0	nan	873.0
9	28462092.0	30649106.0	0	0	nan	709.0
9	30649106.0	35023133.0	-0.361	0.1061	0.2234	1238.0
9	30649106.0	32836120.0	0	0	nan	641.0
9	32836120.0	35023133.0	-0.445	0.2067	0.3524	597.0
9	32836120.0	33929627.0	-1.0962	0.1862	0.8293	294.0
9	32836120.0	33382874.0	0	0	nan	192.0
9	33382874.0	33929627.0	-1.4995	0.1676	1.0867	102.0
9	33382874.0	33656251.0	0	0	nan	34.0
9	33656251.0	33929627.0	-0.9273	0.1259	0.6059	68.0
9	33929627.0	35023133.0	0	0	nan	303.0
9	35023133.0	70015355.0	0	0	nan	1091.0
9	70015355.0	139999801	0	0	nan	21516.0
10	88481	135284978	0	0	nan	43087.0
11	188510	134445626	0.6198	0.4075	0.7482	40571.0
11	188510	67317068.0	0	0	nan	18839.0
11	67317068.0	134445626	0.4359	0.5777	0.7829	21732.0
11	67317068.0	100881347.0	0	0	nan	10263.0
11	100881347.0	134445626	0	0	nan	11469.0
12	61880	132288757	0	0	nan	38413.0
13	18045562	114109501	0	0	nan	30406.0
14	19453079	106356482	0	0	nan	25504.0
15	18294933	99999706	0	0	nan	22538.0
16	26671	88700197	0	0	nan	21215.0
17	3587	78653169	0	0	nan	17545.0
18	59836	76116152	1.2121	0.4814	1.7219	22196.0
18	59836	38087994.0	1.0613	0.3729	1.1911	10135.0
18	59836	19073915.0	0.1766	0.7752	0.6183	4375.0
18	59836	9566876.0	0.3106	0.5774	0.5575	2586.0
18	59836	4813356.0	0	0	nan	1218.0
18	4813356.0	9566876.0	0.1073	0.8517	0.574	1368.0
18	4813356.0	7190116.0	0	0	nan	621.0
18	7190116.0	9566876.0	-0.4257	0.7262	1.2158	747.0
18	7190116.0	8378496.0	0	0	nan	339.0
18	8378496.0	9566876.0	-1.679	0.5502	2.8099	408.0
18	8378496.0	8972686.0	0	0	nan	229.0
18	8972686.0	9566876.0	0	0	nan	179.0
18	9566876.0	19073915.0	0	0	nan	1789.0
18	19073915.0	38087994.0	1.6081	0.4096	1.9501	5760.0
18	19073915.0	28580955.0	0	0	nan	2992.0
18	28580955.0	38087994.0	0	0	nan	2768.0
18	38087994.0	76116152	0	0	nan	12061.0
19	211912	63785948	0	0	nan	9430.0
20	9795	62382907	0	0	nan	19069.0
21	13517135	46915057	0	0	nan	10466.0
22	14886368	49565872	0	0	nan	9129.0
